"date";"Ïàé";"Ñ×À";"id"
2020-08-27;380.41;180731348.04;166
2020-08-26;385.16;182987466.31;166
2020-08-25;371.66;176445854.64;166
2020-08-24;364.97;170271597.15;166
2020-08-21;367.22;171254655.44;166
2020-08-20;364.14;167583321.95;166
2020-08-19;356.42;163351685.51;166
2020-08-18;362.07;171619517.61;166
2020-08-17;363.74;170164797.48;166
2020-08-14;355.41;165719157.5;166
2020-08-13;358.47;167289448.57;166
2020-08-12;356.45;166338645.14;166
2020-08-11;348.74;160391966.96;166
2020-08-10;356.47;163450665.57;166
2020-08-07;362.24;166095191.39;166
2020-08-06;369.28;169194720.44;166
2020-08-05;367.15;166121627.93;166
2020-08-04;369.4;167135928.18;166
2020-08-03;366.39;165775495.49;166
2020-07-31;362.94;162215682.53;166
2020-07-30;360.53;161136822.19;166
2020-07-29;353.34;157823138.12;166
2020-07-28;345.3;154235139.9;166
2020-07-27;345.05;153622479.66;166
2020-07-24;338.25;150598353.14;166
2020-07-23;337.66;150348106.2;166
2020-07-22;340.21;151286206.05;166
2020-07-21;337.1;149904218.57;166
2020-07-20;343.88;152768654.49;166
2020-07-17;335.17;148900944.29;166
2020-07-16;327.29;145429078.69;166
2020-07-15;330.21;143723708.23;166
2020-07-14;328.2;142852100.3;166
2020-07-13;320.34;139431145.69;166
2020-07-10;333.03;144951454.02;166
2020-07-09;335.81;146012676.58;166
2020-07-08;335.46;145863482.13;166
2020-07-07;329.44;143245804.39;166
2020-07-06;332.72;144671484.18;166
2020-07-03;327.33;142328128.41;166
2020-07-02;322.04;140024973.86;166
2020-06-30;321.42;139758007.42;166
2020-06-29;309.17;134430776.88;166
2020-06-26;308.46;131123225.63;166
2020-06-25;309.89;131731555.25;166
2020-06-23;310.23;131876381.22;166
2020-06-22;313.97;133462668.77;166
2020-06-19;311.26;132312680.98;166
2020-06-18;307.78;130846401.69;166
2020-06-17;306.31;130222028.74;166
2020-06-16;305.33;129806454.65;166
2020-06-15;304.02;129247141.09;166
2020-06-11;290.8;123626393.44;166
2020-06-10;305.14;129722597.41;166
2020-06-09;300.34;127681428.97;166
2020-06-08;303.43;128998711.56;166
2020-06-05;300.9;127919685.88;166
2020-06-04;299.61;127371677.27;166
2020-06-03;302.82;128737945.77;166
2020-06-02;301.8;128302991.59;166
2020-06-01;303.02;128820394.73;166
2020-05-29;305.38;129823943.28;166
2020-05-28;298.75;127007651.38;166
2020-05-27;302.42;128568178.89;166
2020-05-26;298.84;127046392.69;166
2020-05-25;307.53;130739780.22;166
2020-05-22;303.55;128577491.48;166
2020-05-21;294.82;124879555.03;166
2020-05-20;299.84;131940168.18;166
2020-05-19;297.34;130842852.8;166
2020-05-18;296.82;130613945.23;166
2020-05-15;294.63;129647820.02;166
2020-05-14;293.64;129212165.04;166
2020-05-13;288.88;127118919.13;166
2020-05-12;293.45;129128525.68;166
2020-05-08;294.95;129788996.56;166
2020-05-07;293.44;129124074.65;166
2020-05-06;288.58;123987061.04;166
2020-04-30;285.47;122650873.01;166
2020-04-29;285.53;119674567.58;166
2020-04-28;277.26;116209234.94;166
2020-04-27;281.38;114938703.11;166
2020-04-24;276.51;113213761.25;166
2020-04-23;271.85;111305845.46;166
2020-04-22;276.53;113224414.74;166
2020-04-21;270.88;110910446.45;166
2020-04-20;273.47;111969460.69;166
2020-04-17;274.24;112283393.52;166
2020-04-16;267.48;109517468.92;166
2020-04-15;266.38;109067981.2;166
2020-04-14;266.57;109143335.02;166
2020-04-13;260.13;106508561.81;166
2020-04-10;258.17;105705548.28;166
2020-04-09;257.18;105301171.82;166
2020-04-08;263.11;107742912.59;166
2020-04-07;254.71;104301792.74;166
2020-04-06;256.27;104940394.44;166
2020-04-03;240.95;98668231.13;166
2020-04-02;247.43;99320289.33;166
2020-04-01;250.49;100549110.84;166
2020-03-31;260.19;104440369.73;166
2020-03-30;266.39;102929811.97;166
2020-03-27;258.37;99831357.37;166
2020-03-26;263.1;101659415.36;166
2020-03-25;258.73;99970265.01;166
2020-03-24;254.27;98051174.68;166
2020-03-23;236.48;91190060.09;166
2020-03-20;232.05;89482685.27;166
2020-03-19;241.25;93028595.37;166
2020-03-18;232.4;89614977.58;166
2020-03-17;233.09;89882808.58;166
2020-03-16;218.2;84138895.48;166
2020-03-13;238.79;92082257.58;166
2020-03-12;229.14;88357719.94;166
2020-03-11;242.89;93686139.94;166
2020-03-10;255.78;98660582.9;166
2020-03-06;255.26;98458191.69;166
2020-03-05;256.3;98859373.81;166
2020-03-04;261.03;100684905.94;166
2020-03-03;252.59;90830796.83;166
2020-03-02;262.54;94397245.14;166
2020-02-28;254.9;91653420.16;166
2020-02-27;247.97;89162718.31;166
2020-02-26;256.77;92328607.4;166
2020-02-25;256.82;92347426.76;166
2020-02-21;274.69;98770268.41;166
2020-02-20;278.55;100109660;166
2020-02-19;276.99;99550814.52;166
2020-02-18;270.94;97435392.92;166
2020-02-17;270.65;100036744.82;166
2020-02-14;269.8;99792287.5;166
2020-02-13;270.23;99954061.49;166
2020-02-12;268.59;99113658.42;166
2020-02-11;266.31;98544754.03;166
2020-02-10;267.17;98862774.32;166
2020-02-07;263.59;97596986.04;166
2020-02-06;263.04;97391300.84;166
2020-02-05;260.49;96447424.75;166
2020-02-04;266.05;98563935.66;166
2020-02-03;258.12;95627673.17;166
2020-01-31;252.08;93388675.92;166
2020-01-30;255.13;94601330.67;166
2020-01-29;250.54;92973380.85;166
2020-01-28;252.21;93592594.43;166
2020-01-27;248.44;92192294.5;166
2020-01-24;250.79;93065532.56;166
2020-01-23;252.8;96339333.73;166
2020-01-22;252.99;96412886.13;166
2020-01-21;251.64;96592075.91;166
2020-01-20;250.12;96132452.47;166
2020-01-17;249.73;95984549.4;166
2020-01-16;250.5;96280289.85;166
2020-01-15;245.71;94437821.36;166
2020-01-14;245.93;94520656.14;166
2020-01-13;244.7;94049528.76;166
2020-01-10;240.77;102748519.7;166
2020-01-09;241.69;103141497.8;166
2019-12-31;234.59;100112934.74;166
2019-12-30;233.26;99563479.25;166
2019-12-27;237.04;101176965.8;166
2019-12-26;238.84;101945733.36;166
2019-12-25;236.75;91054286.53;166
2019-12-24;237.25;91247605.33;166
2019-12-23;237.93;91508976.83;166
2019-12-20;236.47;90945853.94;166
2019-12-19;236.68;91169639.92;166
2019-12-18;234.52;90338019.09;166
2019-12-17;234.44;90305346.22;166
2019-12-16;235.87;91285461.01;166
2019-12-13;232.84;111067750.13;166
2019-12-12;233.32;111296686.04;166
2019-12-11;233.5;111384783.62;166
2019-12-10;233.96;111879829.44;166
2019-12-09;235.15;112445380.24;166
2019-12-06;236.76;113167285.04;166
2019-12-05;235.57;112600400.87;166
2019-12-04;238.28;113896315.53;166
2019-12-03;239.08;117009521.62;166
2019-12-02;239.31;117123835.07;166
2019-11-29;242.06;118459957.46;166
2019-11-28;241.2;118094394.91;166
2019-11-27;241.05;118022254.9;166
2019-11-26;238.96;116998789.38;166
2019-11-25;239.56;117295552.48;166
2019-11-22;234.28;118233152.55;166
2019-11-21;232.77;117467993.92;166
2019-11-20;234.43;118305826.64;166
2019-11-19;233.29;117852318.34;166
2019-11-18;231.64;117017871.09;166
2019-11-15;229.6;115989240.66;166
2019-11-14;228.02;115187568.33;166
2019-11-13;229.45;115913086.52;166
2019-11-12;229.23;115800903.15;166
2019-11-11;228.34;115350881.83;166
2019-11-08;227.16;114753773.91;166
2019-11-07;224.71;113514487.78;166
2019-11-06;224.63;113492537.04;166
2019-11-05;223.83;113090670.43;166
2019-11-01;225.08;113734054.79;166
2019-10-31;225.42;113938283.15;166
2019-10-30;225.46;114527776.15;166
2019-10-29;224.65;114116504.45;166
2019-10-28;224.86;114222549.97;166
2019-10-25;223.39;113477044.7;166
2019-10-24;221.86;112701172.33;166
2019-10-23;217.2;110333785.12;166
2019-10-22;214.64;109033492.22;166
2019-10-21;216.72;110104629.48;166
2019-10-18;215.59;109533163.4;166
2019-10-17;217.84;110728292.75;166
2019-10-16;217.88;110749217.81;166
2019-10-15;221.57;112751210.9;166
2019-10-14;219.54;111713397.26;166
2019-10-11;217.63;110743273.7;166
2019-10-10;218.03;110947589.03;166
2019-10-09;218.04;111118282.73;166
2019-10-08;217.78;110987182.93;166
2019-10-07;220.4;112318799.33;166
2019-10-04;219.28;111761498.44;166
2019-10-03;218.88;111558847.22;166
2019-10-02;216.35;110265591.74;166
2019-10-01;218.97;111694860.66;166
2019-09-30;220.22;112334609.53;166
2019-09-27;217.11;110747276.41;166
2019-09-26;220.26;112353226.85;166
2019-09-25;221.12;112794154.53;166
2019-09-24;217.46;110927878.02;166
2019-09-23;222.42;113454731.43;166
2019-09-20;223.09;113800101.57;166
2019-09-19;223.24;113904356.93;166
2019-09-18;223.19;113877322.16;166
2019-09-17;224.7;114678842.16;166
2019-09-16;222.57;113607103.76;166
2019-09-13;221.03;112821221.92;166
2019-09-12;222.93;113789876.63;166
2019-09-11;226;115358150.74;166
2019-09-10;224.01;115188016.8;166
2019-09-09;222.9;114857546.46;166
2019-09-06;224.76;115808936.8;166
2019-09-05;226.23;116564956.5;166
2019-09-04;223.86;115192910.07;166
2019-09-03;223.91;115217216.47;166
2019-09-02;225.96;116537384.48;166
2019-08-30;225.66;116380601.83;166
2019-08-29;227.67;106419965.82;166
2019-08-28;224.16;104778678.35;166
2019-08-27;223.11;104189255.3;166
2019-08-26;223.46;104351777.18;166
