"name";"uk";"form_date";"focus";"focus_more";"num_people";"min_input";"manager";"fee_uk";"fee_max";"id";"date"
"Сбер - Потребительский сектор";"Сбер Управление Активами";"12.03.2007";"акции";"Иностранные активы";"4 665";"1 000";"Кондратьев Максим Александрович";"3.20% от СЧА";"3.85% от СЧА";803;"2021-04-02"
"Сбер - Природные ресурсы";"Сбер Управление Активами";"11.10.2006";"акции";"";"29 602";"1 000";"";"3.20% от СЧА";"3.85% от СЧА";641;"2021-04-02"
"Сбер - Финансовый сектор";"Сбер Управление Активами";"28.08.2007";"акции";"Иностранные активы";"3 655";"1 000";"Захаров Владимир Вячеславович";"3.20% от СЧА";"3.85% от СЧА";957;"2021-04-02"
"Сбер - Фонд акций Добрыня Никитич";"Сбер Управление Активами";"10.06.1997";"акции";"";"33 429";"1 000";"";"3.20% от СЧА";"3.85% от СЧА";43;"2021-04-02"
"Сбер - Электроэнергетика";"Сбер Управление Активами";"26.09.2006";"акции";"";"5 689";"1 000";"Фалкова Александра";"3.20% от СЧА";"3.85% от СЧА";642;"2021-04-02"
"Система Капитал - Биотехнологии";"Система Капитал";"02.08.2019";"акции";"Иностранные активы";"1 188";"100";"";"2.00% от СЧА";"2.50% от СЧА";5585;"2021-04-02"
"Система Капитал - Высокие технологии";"Система Капитал";"19.01.2018";"акции";"Иностранные активы";"1 269";"100";"";"2.25% от СЧА";"2.75% от СЧА";4973;"2021-04-02"
"Система Капитал - Российские акции";"Система Капитал";"02.06.2014";"акции";"";"1 646";"100";"";"1.25% от СЧА";"1.75% от СЧА";3495;"2021-04-02"
"Солид - Глобус
                                                        
                                                            можно купить online";"СОЛИД Менеджмент";"13.10.2010";"акции";"Иностранные активы";"135";"1 000";"";"2.00% от СЧА";"7.00% от СЧА";1959;"2021-04-02"
"Солид - Инвест
                                                        
                                                            можно купить online";"СОЛИД Менеджмент";"19.04.2000";"акции";"";"1 690";"1 000";"";"3.60% от СЧА";"7.10% от СЧА";82;"2021-04-02"
"ТКБ Инвестмент Партнерс - Премиум. Фонд акций
                                                        
                                                            можно купить online";"ТКБ Инвестмент Партнерс";"16.03.2006";"акции";"";"5 099";"1 000";"Кузнецов Алексей Александрович";"3.20% от СЧА";"4.80% от СЧА";518;"2021-04-02"
"ТКБ Инвестмент Партнерс - Фонд акций глобальный
                                                        
                                                            можно купить online";"ТКБ Инвестмент Партнерс";"10.04.2003";"акции";"Иностранные активы";"1 138";"1 000";"Саенко Андрей Борисович";"3.20% от СЧА";"4.80% от СЧА";76;"2021-04-02"
"ТРИНФИКО Глобал.ру
                                                        
                                                            можно купить online";"УК ТРИНФИКО";"10.02.2014";"акции";"Иностранные активы";"17";"50 000";"Мухин Денис Юрьевич";"3.00% от СЧА";"10.00% от СЧА";3425;"2021-04-02"
"ТФГ - Российские акции
                                                        
                                                            можно купить online";"ТРАНСФИНГРУП";"16.12.2016";"акции";"";"11";"50 000";"";"1.00% от СЧА";"1.50% от СЧА";4497;"2021-04-02"
"Технологическая перспектива";"МКБ Инвестиции";"01.06.2016";"акции";"Иностранные активы";"23";"1 000";"";"2.00% от СЧА";"3.80% от СЧА";4293;"2021-04-02"
"УРАЛСИБ Акции роста
                                                        
                                                            можно купить online";"УРАЛСИБ";"04.06.1999";"акции";"Иностранные активы";"29 355";"1 000";"Алексеев Андрей Владимирович";"4.00% от СЧА";"6.70% от СЧА";115;"2021-04-02"
"УРАЛСИБ Глобальные инновации
                                                        
                                                            можно купить online";"УРАЛСИБ";"11.03.2008";"акции";"Иностранные активы";"1 149";"1 000";"Алексеев Андрей Владимирович";"4.00% от СЧА";"6.70% от СЧА";1186;"2021-04-02"
"УРАЛСИБ Первый
                                                        
                                                            можно купить online";"УРАЛСИБ";"13.02.1999";"акции";"";"14 382";"1 000";"Алексеев Андрей Владимирович";"4.00% от СЧА";"6.70% от СЧА";114;"2021-04-02"
"УРАЛСИБ Природные ресурсы
                                                        
                                                            можно купить online";"УРАЛСИБ";"11.03.2008";"акции";"";"1 333";"1 000";"Алексеев Андрей Владимирович";"4.00% от СЧА";"6.70% от СЧА";1188;"2021-04-02"
"УРАЛСИБ Энергетическая перспектива
                                                        
                                                            можно купить online";"УРАЛСИБ";"11.03.2008";"акции";"";"992";"1 000";"Алексеев Андрей Владимирович";"4.00% от СЧА";"6.70% от СЧА";1187;"2021-04-02"
"Харизматичные акции";"Арикапитал";"19.12.2018";"акции";"";"34";"100 000";"";"2.00% от СЧА";"3.80% от СЧА";5351;"2021-04-02"
"Ценные бумаги зарубежной недвижимости
                                                        
                                                            можно купить online";"ТРИНФИКО Пропети Менеджмент";"02.12.2019";"акции";"Иностранные активы";"12";"50 000";"";"2.50% от СЧА";"9.50% от СЧА";5891;"2021-04-02"
